StartD,StartDj,StartDjWY,StartT,StopD,StopDj,StopDjWY,StopT,HrsSampled,8.3RPM,8.4RPM,8.3Rev,8.4Rev,HrsFished,WLK,WaterT,Turb,MinFL,MaxFL,FR,SR,WR,LFR,AdCHINOOK,STEEL,AdSTEEL,FRcpue,SRcpue,WRcpue,LFRcpue,STEELcpue,EFF,Comments
10/6/2014,41918,5,14:45,41919,10/7/2014,6,11:30,20.75,1.8,2.2,2090,3048,42.4,4180,69,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/7/2014,41919,6,12:00,41920,10/8/2014,7,11:30,23.5,1.5,2,2028,3224,49.4,4100,69,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/8/2014,41920,7,12:30,41921,10/9/2014,8,11:00,22.5,1.4,1.9,1924,2834,47.8,3930,69,3.4,43,43,0,0,1,0,0,0,0,0,0,0.02093609,0,0,1,
10/9/2014,41921,8,11:45,41922,10/10/2014,9,11:00,23.25,1.4,2,1960,2700,45.8,3840,68,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/10/2014,41922,9,11:30,41923,10/11/2014,10,9:00,21.5,1.3,2,239,2569,24.5,3810,69,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/11/2014,41923,10,10:00,41924,10/12/2014,11,10:30,23.5,1,1.8,1817,2540,53.8,3620,68,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/12/2014,41924,11,10:30,41925,10/13/2014,12,12:00,26.5,1.5,1.8,2903,1809,49,3520,68,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/13/2014,41925,12,12:00,41926,10/14/2014,13,10:45,22.75,1.4,1.8,1820,2420,44.1,3640,68,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/14/2014,41926,13,11:30,41927,10/15/2014,14,11:30,24,1.2,1.8,1795,2559,48.6,3550,65,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/15/2014,41927,14,12:15,41928,10/16/2014,15,10:30,22.25,1.3,1.8,1695,2375,43.7,3640,65,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/16/2014,41928,15,11:00,41929,10/17/2014,16,10:00,23,1.4,1.8,855,2497,33.3,3660,64,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/17/2014,41929,16,10:15,41930,10/18/2014,17,11:30,25.25,1.4,1.2,2091,2585,60.8,3630,64,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/18/2014,41930,17,11:45,41931,10/19/2014,18,9:00,21.25,1.3,1.7,1724,2284,44.5,3640,64,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/19/2014,41931,18,9:00,41932,10/20/2014,19,12:15,27.25,1.2,1.6,2065,2648,56.3,3660,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/20/2014,41932,19,13:00,41933,10/21/2014,20,10:45,21.75,1.4,1.6,1801,2240,44.8,3700,64,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/21/2014,41933,20,11:30,41934,10/22/2014,21,10:30,23,1.4,1.6,1798,2390,46.3,3860,64,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/22/2014,41934,21,11:00,41935,10/23/2014,22,11:00,24,1.4,1.6,1298,2383,40.3,3880,62,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/23/2014,41935,22,11:30,41936,10/24/2014,23,10:30,23,1.2,1.7,369,2328,27.9,3870,60,1.4,34,34,0,1,0,0,0,0,0,0,0.035780058,0,0,0,1,
10/24/2014,41936,23,10:30,41937,10/25/2014,24,10:15,23.75,1.4,1.6,2156,2264,49.3,4000,61,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/25/2014,41937,24,11:00,41938,10/26/2014,25,10:00,23,1.6,1.2,1351,2219,44.9,4020,62,3.9,47,47,0,0,1,0,0,0,0,0,0,0.022275505,0,0,1,
10/26/2014,41938,25,10:00,41939,10/27/2014,26,9:15,22.5,1.5,1.6,2172,2220,47.3,4030,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/27/2014,41939,26,9:15,41940,10/28/2014,27,9:00,23.75,1.4,1.6,1973,2226,46.7,4570,60,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/28/2014,41940,27,9:30,41941,10/29/2014,28,8:45,23.25,1.5,1.8,1106,1134,22.8,4280,60,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/29/2014,41941,28,9:30,41942,10/30/2014,29,9:30,24,1.4,1.7,2049,2529,49.2,4160,60,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10/30/2014,41942,29,9:45,41943,10/31/2014,30,8:45,23,1.4,1.7,1862,2378,45.5,4050,59,39.4,33,78,0,1,40,4,0,0,0,0,0.021987497,0.879499892,0.087949989,0,1,
10/31/2014,41943,30,8:45,41943,10/31/2014,30,16:15,7.5,1.5,2,627,720,13,4110,59,35.7,37,72,0,0,54,0,0,0,0,0,0,4.164524422,0,0,1,
11/1/2014,41944,31,9:15,41944,11/1/2014,31,12:45,3.5,1.3,1.4,284,299,7.2,4300,58,13.9,48,48,0,0,1,0,0,0,0,0,0,0.138878291,0,0,1,
11/3/2014,41946,33,13:45,41947,11/4/2014,34,9:00,19.25,1.8,2.2,814,1730,20.6,4960,59,8,58,58,0,0,1,0,0,0,0,0,0,0.048442342,0,0,0.5,Both RST modified to sample at half efficiency.
11/4/2014,41947,34,9:30,41948,11/5/2014,35,9:30,24,1.7,2.1,753,3090,31.9,4920,58,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/5/2014,41948,35,10:00,41949,11/6/2014,36,10:15,24.25,1.7,2.3,2442,1684,36.1,5050,58,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/6/2014,41949,36,10:15,41950,11/7/2014,37,10:00,23.75,1.8,2.5,2178,3067,40.6,5010,58,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/7/2014,41950,37,10:00,41951,11/8/2014,38,8:45,22.75,1.9,2.3,1685,3025,36.7,4950,58,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/8/2014,41951,38,9:15,41952,11/9/2014,39,10:00,24.25,1.8,2.2,814,3260,32.2,4890,58,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/9/2014,41952,39,10:00,41953,11/10/2014,40,9:15,23.25,1.9,2.2,2562,3036,45.5,4940,60,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/10/2014,41953,40,9:15,41954,11/11/2014,41,9:00,23.75,1.8,2.1,2498,3175,48.3,4950,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/11/2014,41954,41,9:00,41955,11/12/2014,42,9:45,24.75,1.8,2.2,2562,3271,48.5,4950,59,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/12/2014,41955,42,9:45,41956,11/13/2014,43,9:45,24,1.8,2.2,2156,3140,43.8,5080,60,4.7,57,57,0,0,1,0,0,0,0,0,0,0.022856703,0,0,1,Both RST sampling at full efficiency.
11/13/2014,41956,43,10:30,41957,11/14/2014,44,9:45,23.75,1.6,2.2,2478,3023,48.7,5030,58,6.3,54,54,0,0,1,0,0,0,0,0,0,0.020527973,0,0,1,Both RST sampling at full efficiency.
11/14/2014,41957,44,9:45,41958,11/15/2014,45,9:30,23.75,1.8,2.3,2412,3126,45,5080,58,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
11/15/2014,41958,45,9:30,41959,11/16/2014,46,9:30,24,1.5,2.2,2398,3255,51.3,5070,58,7.8,73,73,0,0,1,0,0,0,0,0,0,0.019491834,0,0,1,Both RST sampling at full efficiency.
11/16/2014,41959,46,9:30,41960,11/17/2014,47,10:00,24.5,1.6,2.4,1691,3351,40.9,5170,57,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
11/17/2014,41960,47,10:00,41961,11/18/2014,48,9:00,23,1.8,2.2,1928,3164,41.8,5140,55,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
11/18/2014,41961,48,9:00,41962,11/19/2014,49,9:00,24,1.8,2.2,2467,3137,46.6,5080,54,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
11/19/2014,41962,49,9:30,41963,11/20/2014,50,9:00,23.5,1.7,2.2,2658,3207,50.4,5130,54,2.4,51,51,0,0,1,0,0,0,0,0,0,0.019859286,0,0,1,Both RST sampling at full efficiency.
11/20/2014,41963,50,9:30,41964,11/21/2014,51,8:30,23,1.7,2.3,2602,3214,48.8,5070,53,5.3,61,61,0,0,1,0,0,0,0,0,0,0.020491946,0,0,1,Both RST sampling at full efficiency.
11/21/2014,41964,51,9:30,41965,11/22/2014,52,8:30,23,1.6,1.8,2446,2873,52.1,5010,54,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
11/22/2014,41965,52,9:00,41966,11/23/2014,53,10:00,25,1.8,2,2574,816,30.6,5090,51,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
11/23/2014,41966,53,10:45,41967,11/24/2014,54,10:15,23.5,1.8,2.5,2350,3512,45.2,6200,54,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/24/2014,41967,54,10:30,41968,11/25/2014,55,9:30,23,1.8,2.5,1345,1464,22.2,5970,54,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/25/2014,41968,55,10:00,41969,11/26/2014,56,9:00,23,1.8,2.6,809,3085,27.3,5600,54,6.7,54,54,0,0,1,0,0,0,0,0,0,0.0366752,0,0,0.5,Both RST modified to sample at half efficiency.
11/26/2014,41969,56,9:30,41970,11/27/2014,57,9:15,23.75,1.6,2.4,2361,3465,48.7,5110,52,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/27/2014,41970,57,9:15,41971,11/28/2014,58,9:30,24.25,1.5,2.3,889,1933,23.9,5010,53,6.1,88,88,0,0,1,0,0,0,0,0,0,0.041867238,0,0,0.5,Both RST modified to sample at half efficiency.
11/28/2014,41971,58,9:30,41972,11/29/2014,59,9:45,24.25,1.7,2.3,800,2032,22.6,4960,54,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
11/29/2014,41972,59,9:45,41973,11/30/2014,60,10:45,25,1.8,2.3,649,3763,33.3,5040,54,5.7,84,84,0,0,1,0,0,0,0,0,0,0.030050447,0,0,0.5,Both RST modified to sample at half efficiency.
11/30/2014,41973,60,10:45,41974,12/1/2014,61,9:45,23,1.6,2.4,1729,3307,41,5610,54,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
12/1/2014,41974,61,9:45,41975,12/2/2014,62,9:30,23.75,1.8,2.6,1970,3907,43.3,7540,55,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
12/2/2014,41975,62,10:30,41976,12/3/2014,63,11:30,25,1.9,2.7,434,1165,11,5020,56,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
12/3/2014,41976,63,11:30,41977,12/4/2014,64,12:00,24.5,1.9,2.7,654,1957,17.8,8600,57,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency.
12/4/2014,41977,64,12:00,41978,12/5/2014,65,10:30,22.5,1.9,2.5,626,1327,14.3,22800,56,55.6,68,68,0,0,1,0,0,0,0,0,0,0.069745246,0,0,0.5,Both RST modified to sample at half efficiency.
12/6/2014,41979,66,9:00,41979,12/6/2014,66,14:15,5.25,2.9,2.2,661,385,6.7,17600,56,46.6,31,96,2,4,8,1,4,0,0,0.297817715,0.59563543,1.19127086,0.148908858,0,1,Both RST sampling at full efficiency.
12/6/2014,41979,66,14:15,41980,12/7/2014,67,10:00,19.75,2.8,2.3,3181,1351,28.7,16800,56,18,33,134,1,10,10,3,10,0,0,0.034813634,0.348136335,0.348136335,0.104440901,0,0.5,Both RST modified to sample at half efficiency.
12/7/2014,41980,67,10:00,41981,12/8/2014,68,11:30,25.5,2.7,2.5,1528,412,12.2,16800,57,49.1,34,126,2,4,13,2,4,0,0,0.164220258,0.328440516,1.067431676,0.164220258,0,0.5,Both RST modified to sample at half efficiency.
12/8/2014,41981,68,11:30,41982,12/9/2014,69,10:45,23.25,2.6,2,2391,733,21.4,12400,56,239,33,97,6,24,1,1,6,0,0,0.279912677,1.119650707,0.046652113,0.046652113,0,0.5,Both RST modified to sample at half efficiency.
12/9/2014,41982,69,15:45,41983,12/10/2014,70,10:15,18.75,1.8,0,711,0,6.6,10100,56,151,31,37,5,5,0,0,0,0,0,0.759493671,0.759493671,0,0,0,0.25,Only sampled with one RST modified to sample at half efficiency.
12/10/2014,41983,70,10:45,41983,12/10/2014,70,14:00,3.25,3,3,562,567,6.3,9930,56,56.7,34,37,1,2,0,0,0,0,0,0.159433127,0.318866253,0,0,0,0.5,Both RST modified to sample at half efficiency.  The RSTs were placed inactive after sampling period in anticipation of storm conditions tomorrow.
12/12/2014,41985,72,12:00,41985,12/12/2014,72,14:00,2,3.4,3.6,473,427,4.3,24900,55,72.5,46,98,0,1,0,1,0,0,0,0,0.232802891,0,0.232802891,0,0.5,Both RST modified to sample at half efficiency.  
12/13/2014,41986,73,13:30,41986,12/13/2014,73,15:00,1.5,4,3.7,438,412,3.7,27000,54,,33,73,1,3,1,0,0,0,0,0.271675947,0.815027841,0.271675947,0,0,0.5,Both RST modified to sample at half efficiency.  No turbidity reading available.
12/14/2014,41987,74,8:30,41987,12/14/2014,74,14:00,5.5,3.7,3,1140,982,10.6,26300,54,294,30,74,9,21,1,0,1,0,0,0.849802932,1.982873508,0.094422548,0,0,0.5,Both RST modified to sample at half efficiency.  
12/15/2014,41988,75,9:00,41988,12/15/2014,75,14:00,5,3,2.9,897,713,9.1,23900,53,197.5,30,40,38,30,0,0,0,0,0,4.184545282,3.30358838,0,0,0,1,Both RST sampling at full efficiency.
12/16/2014,41989,76,9:00,41989,12/16/2014,76,14:00,5,3.1,2.9,1156,727,10.4,21900,52,132,32,75,36,6,1,0,0,0,0,3.463798362,0.577299727,0.096216621,0,0,1,Both RST sampling at full efficiency.
12/17/2014,41990,77,9:15,41990,12/17/2014,77,14:15,5,3.3,3.6,1223,986,10.7,25100,54,68.9,34,38,19,4,0,0,0,0,0,1.768826894,0.372384609,0,0,0,1,Both RST sampling at full efficiency.
12/18/2014,41991,78,8:45,41991,12/18/2014,78,14:00,5.25,3.6,3.5,1114,990,9.9,25600,51,119,33,124,28,9,2,1,2,0,0,2.836392871,0.911697709,0.202599491,0.101299745,0,1,Both RST sampling at full efficiency.
12/19/2014,41992,79,9:15,41992,12/19/2014,79,14:15,5,3.1,3.6,1185,114,6.9,25100,51,143,30,39,17,15,0,0,1,0,0,2.464216132,2.174308352,0,0,0,1,Both RST sampling at full efficiency.
12/20/2014,41993,80,9:00,41993,12/20/2014,80,14:00,5,3.5,3.5,1298,0,6.2,25600,53,154,32,98,11,6,2,0,0,0,0,1.779661017,0.970724191,0.32357473,0,0,1,Both RST sampling at full efficiency.  No cone revolution count available for trap 8.4
12/21/2014,41994,81,9:00,41994,12/21/2014,81,14:00,5,3.7,3.7,1415,1102,11.3,24700,53,268,31,68,56,23,3,0,4,0,0,4.939213349,2.028605483,0.264600715,0,0,1,Both RST sampling at full efficiency.
