StartD,StartDj,StartDjWY,StartT,StopD,StopDj,StopDjWY,StopT,HrsSampled,8.3RPM,8.4RPM,8.3Rev,8.4Rev,HrsFished,WLK,WaterT,Turb,MinFL,MaxFL,FR,SR,WR,LFR,AdCHINOOK,STEEL,AdSTEEL,FRcpue,SRcpue,WRcpue,LFRcpue,STEELcpue,EFF,Comments
12/22/2014,41995,82,9:00,41995,12/22/2014,82,14:00,5,3.7,3.9,1110,1285,10.5,25500,54,123,32,123,236,60,5,3,4,0,0,22.49450102,5.718940937,0.476578411,0.285947047,0,1,Both RST sampling at full efficiency.
12/23/2014,41996,83,9:00,41996,12/23/2014,83,14:00,5,3.3,3.2,940,1088,10.4,24700,54,139,33,108,69,15,2,1,0,0,0,6.625606208,1.440349176,0.192046557,0.096023278,0,1,Both RST sampling at full efficiency.
12/24/2014,41997,84,8:45,41997,12/24/2014,84,13:45,5,3.4,3,1007,1050,10.8,22400,54,68,33,89,34,7,2,0,0,0,0,3.157032317,0.649977242,0.185707783,0,0,1,Both RST sampling at full efficiency.
12/26/2014,41999,86,9:15,41999,12/26/2014,86,14:15,5,3,3.7,985,1173,10.8,17000,52,39.9,30,41,5,1,0,0,0,0,0,0.464856565,0.092971313,0,0,0,1,Both RST sampling at full efficiency.
12/27/2014,42000,87,9:00,42000,12/27/2014,87,14:00,5,2.6,2.8,749,930,10.3,15300,51,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
12/28/2014,42001,88,8:45,42001,12/28/2014,88,13:45,5,2.9,3.3,848,1002,9.9,13800,50,34.7,38,39,2,0,0,0,0,0,0,0.201325339,0,0,0,0,1,Both RST sampling at full efficiency.
12/29/2014,42002,89,8:45,42003,12/30/2014,90,9:15,23.5,3.6,3.8,4646,5220,44.4,12000,47,27.9,35,49,11,4,0,0,0,0,0,0.247725452,0.090081983,0,0,0,0.5,Both RST modified to sample at half efficiency.  
12/30/2014,42003,90,9:15,42004,12/31/2014,91,9:00,23.75,3.9,4,3356,3662,29.6,11000,47,36,40,125,0,2,0,1,0,0,0,0,0.06756708,0,0.03378354,0,0.5,Both RST modified to sample at half efficiency.  
1/2/2015,42006,93,8:45,42007,1/3/2015,94,9:15,24.5,3.1,3.5,4658,5322,50.4,9080,43,29.5,36,36,1,0,0,0,0,0,0,0.019846835,0,0,0,0,0.5,Both RST modified to sample at half efficiency.  
1/3/2015,42007,94,9:15,42008,1/4/2015,95,9:45,24.5,2.8,3.1,4112,4705,49.8,8640,44,28.8,36,43,1,2,0,0,1,0,0,0.020091662,0.040183325,0,0,0,0.5,Both RST modified to sample at half efficiency.  
1/4/2015,42008,95,9:45,42009,1/5/2015,96,9:30,23.75,2.7,3.1,4022,4612,49.6,8350,44,29.2,34,122,1,2,0,1,0,0,0,0.020152003,0.040304006,0,0.020152003,0,0.5,Both RST modified to sample at half efficiency.  
1/5/2015,42009,96,9:30,42010,1/6/2015,97,9:30,24,2.9,3.3,4154,4539,46.8,8110,46,24.2,35,35,1,0,0,0,0,0,0,0.021368523,0,0,0,0,0.5,Both RST modified to sample at half efficiency.  
1/6/2015,42010,97,9:30,42011,1/7/2015,98,9:30,24,2.9,3,4035,4509,48.2,7740,47,26.8,39,46,2,4,0,0,1,0,0,0.041459666,0.082919332,0,0,0,0.5,Both RST modified to sample at half efficiency.  
1/7/2015,42011,98,9:30,42012,1/8/2015,99,10:30,25,2.9,3.1,4101,4020,45.2,7550,48,16.1,36,48,8,3,0,0,0,0,0,0.177062176,0.066398316,0,0,0,1,Both RST sampling at full efficiency.
1/8/2015,42012,99,10:30,42013,1/9/2015,100,9:45,23.25,2.7,3,3621,4312,46.3,7300,49,19.4,41,185,1,2,0,1,0,0,0,0.021594817,0.043189634,0,0.021594817,0,1,Both RST sampling at full efficiency.
1/9/2015,42013,100,9:45,42014,1/10/2015,101,9:15,23.5,2.7,2.9,3474,3776,43.1,7160,49,22.5,39,120,4,2,0,1,0,0,0,0.092709351,0.046354675,0,0.023177338,0,1,Both RST sampling at full efficiency.
1/10/2015,42014,101,9:15,42015,1/11/2015,102,9:15,24,2.7,3,2944,4228,41.7,6990,50,22.7,37,43,6,1,0,0,0,0,0,0.144017069,0.024002845,0,0,0,1,Both RST sampling at full efficiency.
1/11/2015,42015,102,10:30,42016,1/12/2015,103,10:00,23.5,2.6,2.9,3725,4267,48.4,6770,51,18.7,37,49,6,4,0,0,0,0,0,0.123963885,0.08264259,0,0,0,1,Both RST sampling at full efficiency.
1/12/2015,42016,103,10:00,42017,1/13/2015,104,9:45,23.75,2.5,2.8,2628,3824,40.3,6640,51,18.3,40,47,4,6,0,0,0,0,2,0.09930017,0.148950255,0,0,0,1,Both RST sampling at full efficiency.
1/13/2015,42017,104,9:45,42018,1/14/2015,105,10:30,24.75,2.6,2.8,3518,3998,46.3,6370,51,17.1,37,39,4,0,0,0,0,0,4,0.086301938,0,0,0,0,1,Both RST sampling at full efficiency.
1/14/2015,42018,105,10:30,42019,1/15/2015,106,9:30,23,2.6,2.7,3391,3783,45.1,6250,50,18,44,44,1,0,0,0,0,0,1,0.022178343,0,0,0,0,1,Both RST sampling at full efficiency.
1/15/2015,42019,106,9:30,42020,1/16/2015,107,9:45,24.25,2.4,2.6,3418,3842,48.4,6170,52,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
1/16/2015,42020,107,10:00,42021,1/17/2015,108,9:15,23.25,2.3,2.5,3318,3556,47.8,6100,51,16.5,37,45,3,1,0,0,0,0,2,0.062827034,0.020942345,0,0,0,1,Both RST sampling at full efficiency.
1/17/2015,42021,108,9:15,42022,1/18/2015,109,9:15,24,2.4,2.6,3321,3589,46.1,6080,51,20.3,47,47,0,1,0,0,0,0,0,0,0.021706613,0,0,0,1,Both RST sampling at full efficiency.
1/18/2015,42022,109,9:15,42023,1/19/2015,110,9:15,24,2.3,2.5,3406,3667,49.1,6120,52,16.9,37,48,2,2,0,0,0,0,3,0.040710126,0.040710126,0,0,0,1,Both RST sampling at full efficiency.
1/19/2015,42023,110,9:15,42024,1/20/2015,111,10:30,25.25,2.3,2.5,3615,3908,52.2,6130,52,16,36,43,3,0,0,0,0,0,0,0.057417383,0,0,0,0,1,Both RST sampling at full efficiency.
1/20/2015,42024,111,10:30,42025,1/21/2015,112,11:15,24.75,2.3,2.5,3132,3725,47.5,6200,53,13.6,46,46,1,0,0,0,0,0,0,0.021039793,0,0,0,0,1,Both RST sampling at full efficiency.
1/21/2015,42025,112,11:15,42026,1/22/2015,113,9:45,22.5,2.3,2.4,2540,3308,41.4,6050,52,14.6,39,47,1,1,0,0,0,0,0,0.024167421,0.024167421,0,0,0,1,Both RST sampling at full efficiency.
1/22/2015,42026,113,9:45,42027,1/23/2015,114,9:30,23.75,2.2,2.3,3509,3382,51.1,5990,51,12.3,35,54,2,1,0,0,0,0,0,0.03914616,0.01957308,0,0,0,1,Both RST sampling at full efficiency.
1/23/2015,42027,114,9:30,42028,1/24/2015,115,9:30,24,2,2.5,1827,3861,41,5900,51,15.6,37,37,2,0,0,0,0,0,0,0.048822165,0,0,0,0,1,Both RST sampling at full efficiency.
1/24/2015,42028,115,9:30,42029,1/25/2015,116,9:15,23.75,2.1,2.7,1388,3775,34.3,5810,50,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
1/25/2015,42029,116,9:15,42030,1/26/2015,117,9:15,24,2,2.8,1762,3795,37.3,5760,52,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
1/26/2015,42030,117,9:15,42031,1/27/2015,118,10:00,24.75,2,2.7,746,981,12.3,5750,52,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
1/27/2015,42031,118,10:00,42032,1/28/2015,119,10:00,24,2,2.6,1935,797,21.2,5720,52,11.4,47,50,1,1,0,0,0,0,0,0.04709434,0.04709434,0,0,0,1,Both RST sampling at full efficiency.
1/28/2015,42032,119,10:00,42033,1/29/2015,120,10:00,24,1.9,2.7,2528,3708,45.1,5700,52,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
1/29/2015,42033,120,10:00,42034,1/30/2015,121,9:15,23.25,1.7,2.6,2465,2300,38.9,5750,53,12.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
1/30/2015,42034,121,9:15,42035,1/31/2015,122,10:15,25,1.7,2.6,2643,3734,49.8,5720,54,10.5,40,40,1,0,0,0,0,0,0,0.020061121,0,0,0,0,1,Both RST sampling at full efficiency.
1/31/2015,42035,122,10:15,42036,2/1/2015,123,10:30,24.25,1.7,2.5,2710,3543,50.2,5650,53,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/1/2015,42036,123,10:30,42037,2/2/2015,124,9:30,23,1.7,2.5,2595,3304,47.5,5630,53,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/2/2015,42037,124,9:30,42038,2/3/2015,125,11:00,25.5,1.7,2.5,2771,3667,51.6,5590,54,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/3/2015,42038,125,11:00,42039,2/4/2015,126,11:15,23.25,1.8,2.5,2618,3399,46.9,5600,54,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/4/2015,42039,126,10:15,42040,2/5/2015,127,9:45,23.5,1.8,2.4,1638,3330,38.3,5730,55,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/5/2015,42040,127,9:45,42041,2/6/2015,128,12:30,26.75,1.7,2.5,596,3998,32.5,6290,54,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/6/2015,42041,128,12:30,42042,2/7/2015,129,7:15,18.25,1.9,2.6,2233,2912,38.3,6640,54,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Both RST sampling at full efficiency.
2/7/2015,42042,129,7:15,42043,2/8/2015,130,8:45,25.5,2.2,2.9,557,2449,18.3,21100,55,79.5,102,102,0,0,1,0,0,0,0,0,0,0.054661507,0,0,1,Both RST sampling at full efficiency. 
2/8/2015,42043,130,8:45,42043,2/8/2015,130,17:00,8.25,2.9,3.8,1190,1408,13,24500,55,114.9,33,70,13,6,1,0,36,0,24,0.998884395,0.461023567,0.076837261,0,0,1,Both RST sampling at full efficiency during daylight hours.  Both RST put inactive after sampling period due to heavy amounts of in-river debris.
2/9/2015,42044,131,6:45,42044,2/9/2015,131,16:00,9.25,2.9,4.1,1768,2266,19.4,24700,55,850,33,62,2068,14,0,0,30,0,10,106.7503509,0.722681293,0,0,0,1,Both RST sampling at full efficiency during daylight hours.
2/9/2015,42044,131,17:30,42045,2/10/2015,132,10:00,16.5,3.1,3.5,732,991,8.7,24600,55,351,34,58,393,3,0,0,14,0,4,45.40973714,0.346639215,0,0,0,0.5,Both RST modified to sample at half efficiency during night hours. 
2/10/2015,42045,132,10:00,42045,2/10/2015,132,16:15,6.25,3.7,4.5,1104,1437,10.3,24500,56,312,33,62,1095,6,0,0,61,1,11,106.3602952,0.582796138,0,0,0.09713269,0.5,Both RST modified to sample at half efficiency during daylight hours. 
2/11/2015,42046,133,7:30,42046,2/11/2015,133,16:45,9.25,2.9,3.5,1694,1722,17.9,23600,56,266,34,125,900,28,3,0,59,1,11,50.17944117,1.56113817,0.167264804,0,0.055754935,0.5,Both RST modified to sample at half efficiency during daylight hours. 
2/12/2015,42047,134,6:45,42048,2/13/2015,135,8:00,25.25,3.2,3.8,2440,2895,25.4,17800,55,121.6,28,117,1649,22,17,0,132,1,20,64.90668968,0.865947346,0.669141131,0,0.039361243,0.5,Both RST modified to sample at half efficiency. 
2/13/2015,42048,135,8:00,42049,2/14/2015,136,11:00,27,3.5,3.3,2740,3627,31.4,14700,54,80.5,32,107,537,10,4,0,76,0,20,17.12055759,0.318818577,0.127527431,0,0,0.5,Both RST modified to sample at half efficiency. 
2/14/2015,42049,136,11:00,42050,2/15/2015,137,10:00,23,3.3,4.1,1154,1392,11.5,12900,56,70.3,36,97,54,3,1,0,10,2,2,4.701040214,0.261168901,0.0870563,0,0.174112601,0.5,Both RST modified to sample at half efficiency. 
2/15/2015,42050,137,12:30,42051,2/16/2015,138,9:30,21,2.7,2.9,148,3953,23.6,11800,56,58.1,34,66,28,1,0,0,3,0,1,1.184835575,0.042315556,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/16/2015,42051,138,10:00,42052,2/17/2015,139,9:00,23,3,3.2,4014,4494,45.7,10800,54,39.2,35,92,30,3,1,0,8,0,1,0.656365377,0.065636538,0.021878846,0,0,0.5,Both RST modified to sample at half efficiency. 
2/17/2015,42052,139,9:00,42053,2/18/2015,140,9:45,24.75,3,3.1,1424,5050,35.1,10100,56,41.8,35,73,11,1,0,0,0,0,0,0.313733107,0.028521192,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/18/2015,42053,140,9:45,42054,2/19/2015,141,9:45,24,2.8,3.4,1644,5172,35.1,9680,55,33.8,34,93,6,1,1,0,2,0,0,0.170752122,0.028458687,0.028458687,0,0,0.5,Both RST modified to sample at half efficiency. 
2/19/2015,42054,141,9:45,42055,2/20/2015,142,11:00,25.25,3,2.2,4331,4331,56.9,9250,57,36.2,36,75,8,2,0,0,3,0,1,0.14066746,0.035166865,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/20/2015,42055,142,10:45,42056,2/21/2015,143,9:30,23.75,2.9,3.4,3868,4565,44.6,8860,57,34,41,44,2,0,0,0,0,0,0,0.044835675,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/21/2015,42056,143,9:30,42057,2/22/2015,144,10:45,25.25,3,3.4,4428,1523,32.1,8460,57,30,42,42,1,0,0,0,0,0,0,0.031185985,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/22/2015,42057,144,10:45,42058,2/23/2015,145,10:45,24,3,3.5,4270,5094,48,8110,56,25.3,34,85,3,0,1,0,3,0,0,0.06252688,0,0.020842293,0,0,0.5,Both RST modified to sample at half efficiency. 
2/23/2015,42058,145,10:45,42059,2/24/2015,146,10:45,24,2.9,3.1,4099,4792,49.3,7640,54,24,36,100,1,0,2,0,1,0,0,0.020275375,0,0.04055075,0,0,0.5,Both RST modified to sample at half efficiency. 
2/24/2015,42059,146,10:45,42060,2/25/2015,147,9:30,22.75,2.8,3.2,1070,4533,30,7340,54,16.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/25/2015,42060,147,9:30,42061,2/26/2015,148,9:30,24,2.9,3.1,3896,4620,47.2,7170,54,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/26/2015,42061,148,9:30,42062,2/27/2015,149,9:15,23.75,2.7,3,3832,4098,46.4,6960,54,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/27/2015,42062,149,9:15,42063,2/28/2015,150,9:45,24.5,2.6,3.1,3792,4840,50.3,6830,55,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
2/28/2015,42063,150,9:45,42064,3/1/2015,151,11:15,25.5,2.4,3,3952,5004,55.2,6560,56,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
3/1/2015,42064,151,11:15,42065,3/2/2015,152,11:00,23.75,2.3,2.9,3395,4585,51,6170,56,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Both RST modified to sample at half efficiency. 
